S0,on1,S2,0.2
S0,off1,S0,0.2
S0,on2,S1,0.2
S0,off2,S0,0.2
S0,on1,S6,0.2
S0,off1,S4,0.4
S0,on2,S5,0.2
S0,off2,S4,0.4
S1,on1,S3,0.2
S1,off1,S1,0.2
S1,on2,S1,0.2
S1,off2,S0,0.2
S1,on1,S7,0.2
S1,off1,S5,0.4
S1,on2,S5,0.4
S1,off2,S4,0.2
S2,on1,S2,0.2
S2,off1,S0,0.2
S2,on2,S3,0.2
S2,off2,S2,0.2
S2,on1,S6,0.4
S2,off1,S4,0.2
S2,on2,S7,0.2
S2,off2,S6,0.4
S3,on1,S3,0.2
S3,off1,S1,0.2
S3,on2,S3,0.2
S3,off2,S2,0.2
S3,on1,S7,0.4
S3,off1,S5,0.2
S3,on2,S7,0.4
S3,off2,S6,0.2
S4,on1,S2,0.3
S4,off1,S0,0.1
S4,on2,S1,0.3
S4,off2,S0,0.1
S4,on1,S6,0.3
S4,off1,S4,0.3
S4,on2,S5,0.3
S4,off2,S4,0.3
S5,on1,S3,0.3
S5,off1,S1,0.1
S5,on2,S1,0.1
S5,off2,S0,0.3
S5,on1,S7,0.3
S5,off1,S5,0.3
S5,on2,S5,0.3
S5,off2,S4,0.3
S6,on1,S2,0.1
S6,off1,S0,0.3
S6,on2,S3,0.3
S6,off2,S2,0.1
S6,on1,S6,0.3
S6,off1,S4,0.3
S6,on2,S7,0.3
S6,off2,S6,0.3
S7,on1,S3,0.1
S7,off1,S1,0.3
S7,on2,S3,0.1
S7,off2,S2,0.3
S7,on1,S7,0.3
S7,off1,S5,0.3
S7,on2,S7,0.3
S7,off2,S6,0.3
